ItemID,Name,ContainsWheat,ContainsMilk,ContainsEggs,ContainsMeat,Price,Calories
1,Apple Cinnamon Crème Brulee,TRUE,TRUE,TRUE,FALSE,12.5,950
2,Berry Agave,TRUE,TRUE,TRUE,FALSE,12.5,900
3,Bonne Maman,TRUE,TRUE,TRUE,FALSE,9.25,950
4,Dulce de Leche,TRUE,TRUE,TRUE,FALSE,9.25,825
5,Cookie Butter,TRUE,TRUE,TRUE,FALSE,11.25,1025
6,Lemon & Sugar,TRUE,TRUE,TRUE,FALSE,8.25,1000
7,Nutella,TRUE,TRUE,TRUE,FALSE,8.25,850
8,Oreo Cookies n' Cream,TRUE,TRUE,TRUE,FALSE,11.5,975
9,S'mores,TRUE,TRUE,TRUE,FALSE,11.95,1050
10,Chicken Alfredo,TRUE,TRUE,TRUE,TRUE,13.25,1125
11,Chicken Carbonara,TRUE,TRUE,TRUE,TRUE,13.95,1275
12,Le California,TRUE,TRUE,TRUE,TRUE,12.95,1150
13,Chicken Enchilada,TRUE,TRUE,TRUE,TRUE,12.95,900
14,Pesto Ham & Gruyere,FALSE,TRUE,FALSE,TRUE,12.95,1250
15,Caprese,FALSE,TRUE,FALSE,TRUE,12.75,825
16,Apple Juice,FALSE,FALSE,FALSE,FALSE,4,115
17,Orange Juice,FALSE,FALSE,FALSE,FALSE,4.25,40
18,Black Iced Tea,FALSE,FALSE,FALSE,FALSE,3.25,105
19,Peach Lemonade,FALSE,FALSE,FALSE,FALSE,3.25,99
20,Raspberry Lemonade,FALSE,FALSE,FALSE,FALSE,3.25,100
21,Napkins,FALSE,FALSE,FALSE,FALSE,0,0
22,Cups,FALSE,FALSE,FALSE,FALSE,0,0
23,Straws,FALSE,FALSE,FALSE,FALSE,0,0
24,Flatware,FALSE,FALSE,FALSE,FALSE,0,0
25,To Go Boxes,FALSE,FALSE,FALSE,FALSE,0,0
26,Bags,FALSE,FALSE,FALSE,FALSE,0,0
